Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-03-03,72.2049,76.0369,71.6087,74.9204,1246547.2
2020-03-04,74.3806,75.8631,72.7825,72.7825,607304.48
2020-03-05,74.265,74.4583,70.299,70.3951,643952.91
2020-03-06,69.0476,69.1437,66.4864,67.3534,987231.31
2020-03-09,60.633,63.2515,58.6689,59.8825,1399434.22
2020-03-10,61.2689,64.1951,59.6893,59.8825,1196522.16
2020-03-11,60.3631,61.4029,56.3583,56.6087,1172679.72
2020-03-12,53.0466,53.432,47.5592,47.5592,1393464.34
2020-03-13,50.832,54.7796,48.368,50.5243,2066531.23
2020-03-16,50.5437,50.8136,46.2214,49.6194,2009070.62
2020-03-17,51.0252,54.7029,50.9097,52.9505,1948742.49
2020-03-18,50.0621,53.0466,48.233,50.6981,2132949.75
2020-03-19,51.0252,55.8388,51.0058,54.3563,1122473.4
2020-03-20,57.2825,59.5932,55.5117,55.7621,2129165.53
2020-03-23,54.3175,55.2612,51.9874,52.6039,1227192.47
2020-03-24,55.8388,56.5126,54.3942,56.2621,1189667.51
2020-03-25,58.7272,58.7272,54.4913,56.7631,1299299.68
2020-03-26,54.8951,57.2825,54.5291,57.1476,867426.86
2020-03-27,57.6291,57.7068,55.4155,55.935,722623.28
2020-03-30,56.6854,56.7825,54.6068,55.2612,607439.41
2020-03-31,56.5126,57.8602,56.2233,57.5913,1041849.12
2020-04-01,56.801,57.6485,55.9155,56.532,661153.91
2020-04-02,56.7049,57.1864,55.0874,56.7631,814613.61
2020-04-03,56.7631,57.1291,55.165,57.032,1371304.92
2020-04-06,58.3417,62.9437,58.3417,62.5777,1370873.35
2020-04-07,65.2932,68.9126,65.0806,66.4291,1910323.49
2020-04-08,66.5825,67.199,64.7728,64.9845,1035015.07
2020-04-09,66.4291,66.9097,64.6961,66.7563,900932.76
2020-04-14,70.0874,73.0718,69.2786,72.167,1430157.06
2020-04-15,73.168,73.168,66.9291,67.6417,1238911.81
2020-04-16,68.3544,68.7971,66.9291,67.9883,685863.61
2020-04-17,70.3951,71.0495,69.6058,69.7408,728954.69
2020-04-20,70.2408,70.4146,68.4505,70.1068,546484.01
2020-04-21,68.8359,69.2204,66.5252,67.1602,738070.19
2020-04-22,66.8136,69.7981,65.3699,69.3165,640992.69
2020-04-23,69.7981,71.0495,68.9126,71.0495,572047.58
2020-04-24,70.1835,71.3388,69.6058,70.0874,432549.53
2020-04-27,71.2427,71.4544,69.1437,69.7981,538768.28
2020-04-28,69.7981,71.2233,68.4117,70.8,606096.29
